"","r1","r10","r2","r3","r4","r5","r6","r7","r8","r9","s1","s2","s3","s4","s5","s6","cluster"
"1",12,0,0,0,0,0,0,0,0,0,35,3,33,3,2,0,1
"10",10,0,0,0,0,0,0,0,0,0,38,1,33,1,0,0,1
"100",11,0,0,0,0,0,0,0,0,0,32,3,29,2,1,1,1
"1000",2,0,18,0,0,0,0,0,0,0,34,2,31,2,2,2,2
"1001",4,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1002",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1003",6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1004",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1005",0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,5
"1006",2,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,6
"1007",4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,7
"1008",4,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,1
"1009",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"101",6,0,0,0,0,0,0,0,0,0,50,2,44,2,2,2,1
"1010",2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3
"1011",2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6
"1012",2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1013",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1014",2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1015",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1016",4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1017",6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8
"1018",6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
"1019",2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"102",10,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,1
