"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1",11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,20,0,0,5,1
"10",7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,11,0,0,10,2
"100",11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,24,0,0,0,3
"1000",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,23,0,0,0,4
"1001",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1002",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1003",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1004",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1005",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1006",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1008",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
"1009",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8
"101",5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,31,0,0,0,3
"1010",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1011",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
"1012",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1013",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1014",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1015",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1016",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1017",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1018",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1019",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"102",9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,0,5,0,10
"1020",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
"1021",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1022",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11
"1024",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1025",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1026",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1027",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8
"1028",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
"1029",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"103",6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,0,5,7,13
"1030",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1032",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1033",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1034",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1035",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1037",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1038",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1039",0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"104",10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,16,0,0,0,3
"1040",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1041",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1042",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1043",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1044",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
