"","addPerson ","deletePerson ","editPerson ","searchPerson ","cluster"
"a100",109,84,25,62,1
"a1000",179,109,96,160,2
"a1001",63,48,51,66,1
"a1003",91,48,47,86,1
"a1004",171,103,109,152,2
"a1010",85,47,52,74,1
"a1012",78,50,47,70,1
"a1013",79,63,60,94,1
"a1015",74,41,45,86,1
"a1019",87,47,67,82,1
"a1028",151,95,130,152,2
"a103",83,57,62,86,1
"a1032",103,64,64,86,1
"a1033",197,121,86,148,2
"a1034",81,45,68,82,1
"a1037",31,19,12,15,1
"a1038",85,54,46,82,1
"a104",78,42,76,90,1
"a1046",78,21,83,82,1
"a1047",69,36,61,70,1
"a1048",102,77,34,78,1
"a1050",173,104,125,160,2
"a1056",37,14,29,23,1
"a1057",81,51,55,74,1
"a1058",180,119,102,168,2
"a1059",61,29,70,86,1
"a1061",113,76,54,90,1
"a1062",57,22,87,86,1
"a1067",77,35,69,78,1
"a1068",183,122,106,152,2
"a1071",80,44,64,86,1
"a1073",75,41,53,70,1
"a1076",84,62,57,74,1
"a1077",257,167,146,214,2
"a1078",63,52,18,55,1
"a1080",92,55,62,78,1
"a1085",215,162,159,222,2
"a1086",80,55,46,82,1
"a1087",79,51,59,74,1
"a1088",78,58,61,98,1
"a1089",61,32,50,58,1
"a1090",147,72,134,152,2
"a1093",77,66,48,90,1
"a1094",78,48,71,94,1
"a1095",92,44,72,66,1
"a1098",390,259,198,320,3
"a1099",53,24,67,86,1
"a11",69,43,61,62,1
"a110",128,93,95,125,2
"a1101",87,61,45,82,1
"a1102",97,62,53,82,1
"a1103",84,62,45,82,1
"a1106",184,121,110,168,2
"a1107",76,42,56,86,1
"a1109",60,24,64,74,1
"a1110",101,72,39,74,1
"a1112",86,57,38,66,1
"a1119",161,91,115,144,2
"a112",93,48,67,78,1
"a1120",19,11,13,14,1
"a1126",76,47,51,90,1
"a1127",72,42,56,70,1
"a1129",92,62,53,86,1
"a1130",164,115,91,144,2
"a1132",22,15,45,46,1
"a1133",185,118,96,132,2
"a1134",103,72,112,142,2
"a1135",63,33,69,74,1
"a1136",158,94,102,156,2
"a1137",130,93,47,86,2
"a1139",68,40,49,82,1
"a114",90,65,56,90,1
"a1140",80,46,63,66,1
"a1142",72,47,44,82,1
"a1143",98,60,45,78,1
"a1144",177,110,100,164,2
"a1147",101,80,38,58,1
"a1149",38,30,17,28,1
"a115",102,80,42,58,1
"a1151",81,51,43,78,1
"a1152",89,55,34,70,1
"a1154",83,47,52,70,1
"a1160",80,54,50,78,1
"a1161",69,49,55,66,1
"a1164",174,125,90,148,2
"a1165",61,22,64,62,1
"a1167",83,53,39,70,1
"a1169",77,53,58,74,1
"a1170",179,116,91,148,2
"a1172",85,57,54,74,1
"a1174",100,66,40,74,1
"a1175",87,57,46,70,1
"a1177",74,40,76,86,1
"a1178",132,80,77,108,2
"a1181",79,55,54,78,1
"a1182",58,26,59,78,1
"a1186",78,49,55,74,1
"a1190",85,49,59,86,1
"a1191",87,72,39,86,1
"a1193",102,70,59,86,1
"a120",73,33,54,70,1
"a1200",256,163,159,226,2
"a1201",157,104,89,172,2
"a1204",158,95,80,110,2
"a1205",91,64,52,82,1
"a1206",79,43,40,66,1
"a121",109,55,46,70,1
"a1210",15,13,7,13,1
"a1214",168,96,123,156,2
"a1218",48,33,20,41,1
"a1219",189,114,111,136,2
"a1222",162,123,114,156,2
"a1223",99,71,51,66,1
"a1226",171,114,99,168,2
"a1228",216,180,57,148,2
"a123",79,63,63,97,1
"a1231",84,60,45,82,1
"a1236",169,130,85,144,2
"a1240",157,107,97,152,2
"a1241",76,46,52,54,1
"a1243",86,69,47,66,1
"a1247",87,52,51,74,1
"a1250",98,65,56,102,1
"a1251",103,68,40,90,1
"a1254",167,119,99,156,2
"a1256",157,96,126,160,2
"a1257",81,48,47,74,1
"a1259",20,15,21,39,1
"a126",85,42,41,62,1
"a1262",77,51,55,74,1
"a1266",74,40,57,82,1
"a1267",94,63,45,54,1
"a1268",73,50,55,74,1
"a1270",101,78,31,58,1
"a1272",84,57,42,70,1
"a1274",245,174,137,238,2
"a1276",91,73,43,78,1
"a1278",76,51,63,82,1
"a1279",183,140,99,156,2
"a1282",59,30,78,90,1
"a1283",70,43,64,78,1
"a1284",73,46,52,74,1
"a1285",81,42,68,98,1
"a1286",78,46,40,74,1
"a1287",71,34,80,77,1
"a1291",57,33,73,66,1
"a1293",85,51,43,82,1
"a1298",71,41,64,98,1
"a1303",193,124,129,179,2
"a1304",169,125,109,132,2
"a1307",68,51,47,82,1
"a1309",55,18,88,66,1
"a131",4,3,1,5,1
"a1310",81,59,49,82,1
"a1312",103,49,44,58,1
"a1317",95,68,40,66,1
"a1319",216,144,173,242,2
"a132",96,71,51,70,1
"a1320",175,101,94,144,2
"a1322",148,83,129,156,2
"a1325",157,91,111,152,2
"a1327",62,48,55,66,1
"a1329",187,123,90,144,2
"a1330",159,93,107,140,2
"a1334",74,37,61,82,1
"a1336",77,43,60,74,1
"a1337",168,105,89,148,2
"a1339",74,56,54,78,1
"a1340",76,47,56,62,1
"a1344",156,93,119,140,2
"a1345",91,50,35,62,1
"a1346",166,99,105,168,2
"a1348",79,44,56,86,1
"a1349",149,89,104,152,2
"a135",84,50,59,62,1
"a1351",83,48,44,54,1
"a1353",182,129,85,152,2
