"","addPerson 1","deletePerson 1","editPerson 1","editPerson 10","editPerson 2","editPerson 3","editPerson 4","editPerson 5","editPerson 6","editPerson 7","editPerson 8","editPerson 9","searchPerson 1","searchPerson 10","searchPerson 2","searchPerson 3","searchPerson 4","searchPerson 5","searchPerson 6","searchPerson 7","searchPerson 8","searchPerson 9","cluster"
"a100",109,84,0,0,0,0,3,1,2,9,2,8,32,0,7,2,11,4,6,0,0,0,1
"a1000",179,109,0,0,0,1,17,18,12,19,14,15,97,0,7,16,25,7,2,1,0,5,1
"a1001",63,48,0,0,0,1,2,10,11,13,5,9,36,0,6,10,7,6,1,0,0,0,1
"a1003",91,48,0,0,0,6,3,6,14,9,2,7,56,0,8,5,13,1,1,2,0,0,1
"a1004",171,103,0,0,0,8,15,13,26,23,11,13,92,0,11,19,14,11,5,0,0,0,1
"a1010",85,47,0,0,0,5,7,7,4,14,7,8,44,0,3,10,14,1,1,1,0,0,1
"a1012",78,50,0,0,0,0,2,3,14,5,6,17,40,0,6,6,9,3,5,1,0,0,1
"a1013",79,63,0,0,0,0,0,11,11,16,10,12,64,0,6,4,12,5,3,0,0,0,1
"a1015",74,41,0,0,0,2,8,2,7,17,5,4,52,0,3,7,12,3,1,6,0,2,1
"a1019",87,47,0,0,0,0,12,21,10,7,0,17,48,0,6,11,11,2,4,0,0,0,1
"a1028",151,95,0,0,0,0,23,16,15,22,16,38,89,0,13,11,22,10,4,2,0,1,1
"a103",83,57,0,0,0,5,9,5,19,17,5,2,53,0,8,5,12,5,3,0,0,0,1
"a1032",103,64,0,0,0,5,19,13,10,17,0,0,55,0,8,8,8,4,3,0,0,0,1
"a1033",197,121,0,0,0,7,15,5,16,27,4,12,88,1,16,10,20,7,3,1,1,1,1
"a1034",81,45,0,0,0,0,6,17,9,14,21,1,48,0,9,6,12,4,2,1,0,0,1
"a1037",31,19,0,0,0,0,0,0,7,2,1,2,4,0,1,2,5,2,0,0,1,0,1
"a1038",85,54,0,0,0,0,2,2,11,7,9,15,52,0,8,8,9,2,2,1,0,0,1
"a104",78,42,0,0,0,12,2,5,37,8,6,6,60,0,8,10,6,3,2,0,0,1,1
"a1046",78,21,0,0,0,5,2,12,12,15,16,21,52,0,7,5,10,5,1,1,1,0,1
"a1047",69,36,0,0,0,1,3,3,21,8,12,13,36,0,3,7,14,2,7,1,0,0,1
"a1048",102,77,0,0,0,0,3,1,7,2,14,7,48,0,7,12,3,6,2,0,0,0,1
"a1050",173,104,0,0,0,1,15,20,15,35,18,21,100,0,13,8,23,8,5,2,1,0,1
"a1056",37,14,0,0,0,0,0,6,6,5,5,7,12,0,2,1,4,2,1,1,0,0,1
"a1057",81,51,0,0,0,5,10,8,12,12,5,3,44,0,7,4,11,6,2,0,0,0,1
"a1058",180,119,0,0,0,1,14,4,19,25,10,29,108,0,12,15,20,11,0,2,0,0,1
"a1059",61,29,0,1,0,0,7,1,21,13,6,21,56,0,7,6,10,2,3,2,0,0,1
"a1061",113,76,0,0,0,0,1,0,16,17,1,19,60,1,7,8,10,3,1,0,0,0,1
"a1062",57,22,5,0,0,1,16,11,26,5,12,11,56,0,0,12,10,2,3,3,0,0,1
"a1067",77,35,0,0,0,0,21,3,22,16,0,7,48,0,5,8,11,3,3,0,0,0,1
"a1068",183,122,0,0,0,0,14,20,30,21,13,8,92,0,8,20,19,7,4,1,0,1,1
"a1071",80,44,0,0,0,5,15,5,3,14,7,15,52,0,6,6,9,6,1,0,6,0,1
"a1073",75,41,0,0,0,0,6,3,8,18,9,9,39,0,4,7,8,5,3,1,2,1,1
"a1076",84,62,0,0,0,1,9,16,4,12,10,5,40,0,8,4,9,9,3,1,0,0,1
"a1077",257,167,0,0,0,8,36,10,17,33,16,26,124,0,15,23,26,15,8,1,1,1,1
"a1078",63,52,0,0,0,0,1,1,2,4,5,5,36,0,3,6,5,4,1,0,0,0,1
"a1080",92,55,0,0,0,1,9,12,12,6,6,16,46,0,6,6,11,7,0,1,0,1,1
"a1085",215,162,0,0,0,1,18,12,31,36,30,31,129,0,19,24,29,16,3,1,0,1,1
"a1086",80,55,0,0,0,6,5,16,2,3,8,6,48,0,9,2,18,3,2,0,0,0,1
"a1087",79,51,0,0,0,6,17,8,7,3,2,16,44,0,6,5,13,1,4,0,1,0,1
"a1088",78,58,0,0,0,0,7,5,3,18,12,16,68,0,10,10,5,5,0,0,0,0,1
"a1089",61,32,0,0,0,0,0,14,7,16,6,7,28,0,9,5,9,3,3,0,1,0,1
"a1090",147,72,0,0,0,3,7,10,47,34,13,20,89,0,12,17,22,3,6,1,1,1,1
"a1093",77,66,0,0,0,0,2,13,6,14,11,2,60,0,9,5,10,4,2,0,0,0,1
"a1094",78,48,0,0,1,3,10,7,18,16,11,5,64,0,4,6,12,4,2,1,1,0,1
"a1095",92,44,0,0,0,0,19,7,13,11,5,17,32,0,9,10,8,1,0,0,0,6,1
"a1098",390,259,0,0,0,1,22,14,53,39,40,29,200,0,32,23,39,14,9,1,2,0,1
"a1099",53,24,0,0,0,0,9,3,11,20,3,21,56,0,8,9,6,4,0,0,2,1,1
"a11",69,43,0,0,0,1,16,0,16,15,10,3,28,0,8,8,11,1,1,0,5,0,1
"a110",128,93,0,0,0,0,6,18,7,23,19,22,70,0,12,5,16,11,5,0,5,1,1
"a1101",87,61,0,0,0,1,0,2,17,4,1,20,44,0,6,8,6,3,9,5,1,0,1
"a1102",97,62,0,0,0,1,3,6,13,12,6,12,52,0,5,10,11,1,2,0,1,0,1
"a1103",84,62,0,0,0,0,1,4,13,10,1,16,48,0,5,13,8,3,2,1,1,1,1
"a1106",184,121,0,0,0,0,6,11,17,23,22,31,104,0,14,14,15,13,0,1,6,1,1
"a1107",76,42,0,0,0,0,10,3,12,16,13,2,53,0,4,6,11,10,2,0,0,0,1
"a1109",60,24,0,0,0,0,7,13,13,20,10,1,44,0,12,8,4,2,3,1,0,0,1
"a1110",101,72,0,0,0,0,19,8,6,3,2,1,40,0,9,5,9,8,3,0,0,0,1
"a1112",86,57,0,0,0,0,6,7,7,8,8,2,36,0,7,7,11,4,0,1,0,0,1
"a1119",161,91,0,0,0,0,27,15,8,17,23,25,82,0,14,10,29,4,2,1,0,2,1
"a112",93,48,0,0,0,5,13,0,8,17,6,18,48,0,5,9,11,3,0,1,0,1,1
"a1120",19,11,0,0,0,0,1,0,6,5,1,0,8,0,1,1,3,0,1,0,0,0,1
"a1126",76,47,0,0,0,5,3,3,2,26,1,11,60,0,9,4,11,3,1,0,0,2,1
"a1127",72,42,0,0,0,1,3,11,12,12,8,9,40,0,5,8,12,3,1,0,1,0,1
"a1129",92,62,0,0,0,0,10,0,20,3,8,12,56,0,5,9,11,3,1,0,0,1,1
"a1130",164,115,0,0,0,1,16,12,13,20,18,11,84,1,10,16,20,8,2,1,1,1,1
"a1132",22,15,0,0,0,0,6,6,7,5,11,10,32,0,4,2,8,0,0,0,0,0,1
"a1133",185,118,0,0,0,1,4,21,11,23,2,34,72,0,16,14,15,6,5,2,0,2,1
"a1134",103,72,0,0,0,0,15,13,31,29,6,18,92,0,10,10,18,7,5,0,0,0,1
"a1135",63,33,0,0,0,1,16,10,12,9,6,15,44,0,7,6,9,4,2,2,0,0,1
"a1136",158,94,0,0,0,0,20,3,27,26,5,21,92,0,12,20,14,9,5,3,1,0,1
"a1137",130,93,0,0,0,0,0,1,13,10,6,17,56,0,8,9,11,1,1,0,0,0,1
"a1139",68,40,0,0,0,0,15,0,10,2,11,11,49,0,9,8,8,1,1,1,1,4,1
"a114",90,65,0,0,0,0,1,13,11,8,16,7,60,0,5,12,9,3,1,0,0,0,1
"a1140",80,46,0,0,0,0,7,0,25,8,7,16,36,0,9,3,7,8,1,1,1,0,1
"a1142",72,47,5,0,0,0,3,6,8,6,7,9,52,0,7,6,10,4,2,0,0,1,1
"a1143",98,60,0,0,0,0,1,12,2,8,15,7,48,0,8,9,8,4,1,0,0,0,1
"a1144",177,110,0,0,0,0,6,11,11,31,14,27,104,1,10,16,20,8,3,1,1,0,1
"a1147",101,80,0,0,0,0,11,7,5,12,3,0,24,0,12,6,7,2,0,1,1,5,1
"a1149",38,30,0,0,0,0,2,2,1,5,1,6,16,0,3,1,8,0,0,0,0,0,1
"a115",102,80,0,0,0,0,7,2,13,8,11,1,28,0,8,7,6,6,1,1,0,1,1
"a1151",81,51,0,0,0,0,10,2,8,4,6,13,48,0,7,11,8,1,1,0,2,0,1
"a1152",89,55,0,0,0,1,3,7,5,12,2,4,37,0,5,7,14,1,4,0,0,2,1
"a1154",83,47,0,0,0,6,9,6,0,10,12,9,40,0,5,9,5,6,3,1,0,1,1
"a1160",80,54,0,0,1,0,2,17,10,7,7,6,48,0,6,1,17,3,2,1,0,0,1
"a1161",69,49,0,0,0,5,18,2,2,12,4,12,36,0,7,6,9,5,2,0,0,1,1
"a1164",174,125,0,0,0,0,14,15,21,11,18,11,88,0,16,14,16,7,6,0,1,0,1
"a1165",61,22,0,1,0,1,14,6,7,6,17,12,32,0,7,9,7,2,2,1,1,1,1
"a1167",83,53,0,0,0,0,2,5,8,10,13,1,40,0,7,6,9,3,3,0,1,1,1
"a1169",77,53,0,0,0,1,11,17,3,13,0,13,44,0,6,8,8,4,2,0,1,1,1
"a1170",179,116,0,0,0,7,15,13,14,30,7,5,84,0,16,8,21,3,7,2,5,2,1
"a1172",85,57,0,0,0,0,0,5,10,12,7,20,44,0,8,10,10,0,1,0,1,0,1
"a1174",100,66,0,0,0,0,0,2,8,14,6,10,44,0,8,9,9,3,1,0,0,0,1
"a1175",87,57,0,0,0,0,19,2,4,17,3,1,40,0,6,9,10,2,2,1,0,0,1
"a1177",74,40,0,0,0,0,13,10,6,32,13,2,56,0,6,11,5,6,2,0,0,0,1
"a1178",132,80,0,0,0,0,6,6,15,33,8,9,60,0,13,13,14,4,3,0,1,0,1
"a1181",79,55,0,0,0,0,6,7,17,16,6,2,48,0,4,10,12,2,1,0,0,1,1
"a1182",58,26,0,0,0,1,15,7,2,3,20,11,44,0,6,7,11,3,7,0,0,0,1
"a1186",78,49,0,0,0,0,15,10,12,5,12,1,40,0,5,16,8,4,1,0,0,0,1
"a1190",85,49,0,0,0,0,3,12,18,24,0,2,53,0,8,6,14,3,1,1,0,0,1
"a1191",87,72,0,0,0,0,1,1,11,11,8,7,56,0,8,6,10,1,4,0,1,0,1
"a1193",102,70,0,0,0,5,12,10,6,4,6,16,53,0,5,7,12,6,3,0,0,0,1
"a120",73,33,0,0,0,0,17,2,7,22,3,3,40,0,5,7,10,3,3,2,0,0,1
"a1200",256,163,0,0,0,0,15,17,31,59,18,19,136,0,13,25,27,16,3,5,1,0,1
"a1201",157,104,0,0,0,5,8,15,19,20,5,17,112,0,15,13,21,3,4,1,2,1,1
"a1204",158,95,0,0,0,1,4,21,18,20,14,2,60,0,15,12,16,4,2,0,0,1,1
"a1205",91,64,0,0,0,0,2,3,3,12,11,21,45,0,10,8,15,0,2,1,0,1,1
"a1206",79,43,0,0,0,1,14,3,10,4,5,3,36,0,9,6,8,4,2,1,0,0,1
"a121",109,55,0,0,0,0,4,2,14,18,8,0,40,0,7,7,11,4,1,0,0,0,1
"a1210",15,13,0,0,0,0,0,5,0,2,0,0,8,0,1,2,1,1,0,0,0,0,1
"a1214",168,96,0,0,0,0,3,12,28,41,9,30,92,0,10,14,21,7,5,2,5,0,1
"a1218",48,33,0,0,0,0,1,5,2,6,3,3,24,0,3,5,5,4,0,0,0,0,1
"a1219",189,114,0,0,0,0,18,11,9,19,34,20,76,0,14,14,21,7,4,0,0,0,1
"a1222",162,123,0,0,0,5,17,15,25,23,6,23,96,0,11,16,21,9,3,0,0,0,1
"a1223",99,71,0,1,0,0,0,13,24,6,6,1,36,0,6,6,12,3,2,1,0,0,1
"a1226",171,114,0,0,0,0,16,10,31,9,19,14,108,0,13,15,19,7,4,2,0,0,1
"a1228",216,180,0,0,1,0,9,3,20,12,3,9,88,0,7,18,24,6,4,1,0,0,1
"a123",79,63,0,0,0,5,10,6,8,16,7,11,68,0,7,8,9,4,0,0,0,1,1
"a1231",84,60,0,0,0,0,2,6,11,22,2,2,52,0,8,4,9,5,1,1,1,1,1
"a1236",169,130,0,0,0,0,5,7,12,22,26,13,84,0,12,15,18,12,3,0,0,0,1
"a1240",157,107,0,0,0,11,20,7,6,35,9,9,89,0,13,9,23,8,2,1,3,4,1
"a1241",76,46,0,0,0,0,11,2,14,7,2,16,24,0,8,8,9,4,0,0,1,0,1
"a1243",86,69,0,0,0,0,12,7,15,2,6,5,36,0,6,7,8,5,4,0,0,0,1
"a1247",87,52,0,0,0,2,16,5,7,12,0,9,44,0,4,7,12,4,2,1,0,0,1
"a1250",98,65,0,0,0,5,15,11,3,13,1,8,72,0,4,9,9,4,1,1,0,2,1
"a1251",103,68,0,0,0,0,3,7,12,7,8,3,60,0,6,8,12,2,1,0,0,1,1
"a1254",167,119,0,0,0,5,10,29,9,6,20,20,96,0,16,19,15,5,5,0,0,0,1
"a1256",157,96,0,0,0,1,8,11,31,29,25,21,96,0,13,16,18,6,3,1,1,6,1
"a1257",81,48,0,0,0,0,1,7,2,14,9,14,44,0,3,8,10,3,3,1,0,2,1
"a1259",20,15,0,0,0,0,1,5,2,5,6,2,28,0,2,6,2,1,0,0,0,0,1
"a126",85,42,0,0,0,0,4,4,4,13,8,8,32,0,8,9,7,4,2,0,0,0,1
"a1262",77,51,0,0,0,0,8,7,12,8,9,11,44,0,5,12,10,1,1,0,0,1,1
"a1266",74,40,0,0,0,0,9,5,16,8,12,7,52,0,5,5,10,2,3,2,2,1,1
"a1267",94,63,0,0,0,0,6,2,4,26,6,1,18,0,4,11,11,3,1,1,4,1,1
"a1268",73,50,0,0,0,0,3,3,17,13,6,13,44,0,6,9,8,3,4,0,0,0,1
"a1270",101,78,0,0,0,0,2,3,6,8,7,5,28,0,4,5,14,4,1,0,2,0,1
"a1272",84,57,0,0,0,0,1,12,3,11,7,8,40,0,7,7,6,4,3,1,0,2,1
"a1274",245,174,0,1,1,12,18,12,24,36,17,16,148,0,19,19,31,6,7,4,0,4,1
"a1276",91,73,0,0,0,1,7,3,5,15,1,11,48,0,7,9,12,2,0,0,0,0,1
"a1278",76,51,0,0,0,5,3,1,6,38,7,3,52,0,7,3,10,4,3,3,0,0,1
"a1279",183,140,0,0,0,0,5,10,23,19,12,30,96,0,8,12,25,10,2,2,0,1,1
"a1282",59,30,0,0,0,1,17,6,13,17,16,8,60,0,4,10,8,6,2,0,0,0,1
"a1283",70,43,0,0,0,0,5,1,16,19,20,3,44,0,5,8,9,5,6,0,1,0,1
"a1284",73,46,0,0,0,0,8,2,13,16,7,6,44,0,8,5,14,3,0,0,0,0,1
"a1285",81,42,0,0,0,0,11,1,12,22,16,6,65,0,6,4,18,3,0,0,1,1,1
"a1286",78,46,0,0,0,1,8,1,4,10,6,10,42,0,6,5,14,7,0,0,0,0,1
"a1287",71,34,0,0,0,5,0,11,11,24,17,12,48,0,9,9,5,1,2,1,0,2,1
"a1291",57,33,0,0,0,0,13,5,12,6,8,29,36,1,3,10,11,2,2,0,1,0,1
"a1293",85,51,0,0,0,5,1,13,8,6,2,8,52,0,6,4,10,5,2,2,0,1,1
"a1298",71,41,0,0,0,0,7,1,13,29,6,8,68,0,6,8,8,6,0,1,0,1,1
"a1303",193,124,0,0,0,0,2,12,33,47,13,22,105,0,20,14,18,13,5,0,4,0,1
"a1304",169,125,0,0,0,5,9,23,7,23,10,32,72,0,6,23,20,7,2,1,0,1,1
"a1307",68,51,0,0,0,6,5,10,11,7,7,1,52,0,9,8,7,3,2,1,0,0,1
"a1309",55,18,0,0,0,0,15,7,28,13,13,12,36,0,5,5,13,5,1,1,0,0,1
"a131",4,3,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1
"a1310",81,59,0,0,0,1,5,1,13,19,0,10,52,0,6,8,11,3,1,1,0,0,1
"a1312",103,49,0,0,0,0,6,6,7,14,7,4,28,0,5,4,11,4,2,3,1,0,1
"a1317",95,68,0,0,0,0,5,1,17,4,9,4,36,0,7,6,11,2,2,2,0,0,1
"a1319",216,144,0,0,0,0,28,27,18,48,20,32,148,0,22,23,36,8,3,1,0,1,1
"a132",96,71,0,0,0,1,11,15,3,1,7,13,40,0,5,12,7,3,2,1,0,0,1
"a1320",175,101,0,0,0,0,10,21,23,13,17,10,84,1,9,19,19,8,3,1,0,0,1
"a1322",148,83,0,5,1,6,52,25,24,2,8,6,96,0,16,15,17,7,2,2,0,1,1
"a1325",157,91,0,0,0,1,20,9,16,32,14,19,92,0,15,19,19,4,1,0,1,1,1
"a1327",62,48,0,0,0,0,1,6,5,21,8,14,36,1,2,7,14,2,4,0,0,0,1
"a1329",187,123,0,0,0,0,10,22,12,19,18,9,77,0,14,11,30,8,4,0,0,0,1
"a1330",159,93,0,0,0,1,16,2,23,28,18,19,80,0,15,15,16,7,4,1,1,1,1
"a1334",74,37,0,0,0,0,12,10,25,10,2,2,49,0,10,7,9,5,0,1,0,1,1
"a1336",77,43,0,0,0,5,6,7,7,13,7,15,44,0,7,4,9,6,2,0,0,2,1
"a1337",168,105,0,0,0,2,8,7,25,18,10,19,88,1,13,11,21,10,2,1,1,0,1
"a1339",74,56,0,0,0,0,7,2,23,13,3,6,45,0,7,13,6,3,4,0,0,0,1
"a1340",76,47,0,0,0,0,9,0,11,14,14,8,32,0,4,11,10,2,2,0,0,1,1
"a1344",156,93,0,0,0,1,3,4,32,28,33,18,80,0,8,13,28,7,3,1,0,0,1
"a1345",91,50,0,0,0,1,2,6,9,10,4,3,32,0,10,5,8,5,1,0,0,1,1
"a1346",166,99,0,0,0,0,21,8,14,22,28,12,105,0,7,17,20,13,3,1,2,0,1
"a1348",79,44,0,0,0,5,11,8,9,12,4,7,53,1,3,5,9,10,4,0,1,0,1
"a1349",149,89,0,0,0,0,15,10,42,18,11,8,92,0,11,18,22,4,2,2,1,0,1
"a135",84,50,0,0,0,0,8,17,13,8,8,5,32,0,7,6,10,4,2,0,0,1,1
"a1351",83,48,0,0,0,0,5,5,13,12,6,3,24,0,2,4,20,3,1,0,0,0,1
"a1353",182,129,0,0,0,0,19,10,15,18,12,11,92,0,15,9,18,11,6,0,1,0,1
"a1355",97,61,0,0,0,0,5,1,15,7,0,17,40,0,5,5,9,8,3,0,0,0,1
"a1357",143,75,0,0,0,1,10,19,32,21,16,15,88,0,16,18,20,4,8,0,1,1,1
"a136",86,57,0,0,0,5,2,7,0,9,17,6,52,0,7,10,9,4,0,0,0,0,1
"a1364",75,37,0,0,0,0,2,11,10,18,12,12,52,0,4,6,11,6,1,2,0,0,1
"a1365",72,38,5,0,0,0,25,1,11,13,3,7,60,1,6,7,5,7,4,0,0,0,1
"a1366",77,36,0,0,0,1,2,2,13,12,16,12,32,0,3,9,7,8,2,1,0,0,1
"a137",84,53,0,0,0,0,24,1,9,11,0,17,56,0,7,15,8,1,1,1,1,0,1
"a1370",166,104,0,0,0,0,3,18,17,27,13,27,94,0,10,16,28,5,2,1,0,0,1
"a1371",76,29,0,0,0,10,10,11,16,17,15,7,52,0,10,7,6,2,3,1,0,1,1
"a1372",60,38,0,0,0,1,8,11,17,10,6,8,48,0,10,6,12,1,1,0,0,0,1
"a1373",46,34,0,0,0,0,9,3,18,20,3,1,32,0,7,5,10,1,4,1,2,0,1
"a1374",84,57,0,0,0,0,2,3,8,14,3,8,40,0,6,3,16,2,2,0,0,1,1
"a1375",161,105,0,1,0,0,6,4,38,14,18,13,73,0,14,17,21,5,5,1,4,0,1
"a1376",172,118,0,0,0,0,24,30,17,12,7,20,76,0,12,15,25,6,5,1,0,0,1
"a1377",91,55,0,0,0,5,3,6,7,14,8,3,56,0,5,9,11,2,1,2,0,0,1
"a1378",101,80,0,0,0,0,6,1,23,7,7,6,32,0,4,10,10,3,2,1,0,0,1
"a1379",90,44,0,0,0,5,6,6,24,8,9,5,52,0,2,7,8,5,6,1,5,0,1
"a1385",68,39,0,0,0,0,1,8,11,7,3,27,40,0,5,6,10,4,3,2,0,0,1
"a1386",66,46,0,0,0,0,8,0,6,7,1,6,20,0,5,4,5,2,0,1,2,0,1
"a1391",63,32,0,0,0,1,12,0,6,3,12,14,44,0,2,6,15,3,2,0,0,0,1
"a1393",68,30,0,0,0,6,7,15,14,14,10,12,52,0,6,10,9,4,1,0,0,0,1
"a1396",76,43,0,0,0,5,9,16,4,7,5,14,44,0,4,10,10,3,0,2,1,0,1
"a1398",82,57,0,0,0,0,1,1,3,23,2,8,40,0,4,5,17,3,0,0,1,0,1
"a1399",196,131,0,1,0,7,23,23,16,27,1,7,76,0,14,10,20,11,2,1,1,1,1
"a14",75,32,0,0,0,1,10,4,17,14,3,1,35,0,6,8,12,3,0,0,1,1,1
"a140",69,49,0,0,0,1,6,8,20,13,2,1,56,0,9,4,11,5,1,0,0,0,1
"a1400",50,26,0,0,0,1,13,1,11,4,7,18,32,0,5,6,15,1,2,1,0,0,1
