,r,s
1,12,76
10,10,73
100,11,68
1000,20,73
1001,30,0
1002,18,0
1003,22,0
1004,18,0
1005,18,0
1006,16,0
1007,16,0
1008,20,0
1009,22,0
101,6,102
1010,12,0
1011,16,0
1012,26,0
1013,14,0
1014,26,0
1015,18,0
1016,16,0
1017,16,0
1018,26,0
1019,12,0
102,10,61
1020,20,0
1021,12,0
1022,12,0
1023,14,0
1024,14,0
1025,20,0
1026,30,0
1027,10,0
1028,16,0
1029,16,0
103,8,64
1030,18,0
1031,8,0
1032,22,0
1033,12,0
1034,30,0
1035,16,0
1036,12,0
1037,16,0
1038,20,0
1039,34,0
104,12,50
1040,16,0
1041,22,0
1042,26,0
1043,18,0
1044,30,0
1045,22,0
1046,18,0
1047,20,0
1048,22,0
1049,18,0
105,10,46
1050,20,0
1051,8,0
1052,16,0
1053,22,0
1054,24,0
1055,28,0
1056,10,0
1057,18,0
1058,16,0
1059,14,0
106,6,65
1060,20,0
1061,10,0
1062,26,0
1063,16,0
1064,10,0
1065,20,0
1066,14,0
1067,26,0
1068,16,0
1069,14,0
107,17,58
1070,18,0
1071,20,0
1072,16,0
1073,12,0
1074,10,0
1075,22,0
1076,16,0
1077,26,0
1078,14,0
1079,24,0
108,6,83
1080,10,0
1081,8,0
1082,20,0
1083,12,0
1084,28,0
1085,20,0
1086,22,0
1087,22,0
1088,24,0
1089,18,0
109,13,74
1090,12,0
1091,20,0
1092,22,0
1093,18,0
1094,24,0
1095,20,0
1096,22,0
1097,24,0
1098,8,0
1099,36,0
11,11,67
110,14,63
1100,18,0
1101,20,0
1102,14,0
1103,14,0
1104,26,0
1105,20,0
1106,10,0
1107,20,0
1108,18,0
1109,16,0
111,14,76
1110,22,0
1111,26,0
1112,16,0
1113,16,0
1114,10,0
1115,26,0
1116,12,0
1117,20,0
1118,22,0
1119,26,0
112,9,63
1120,10,0
1121,26,0
1122,18,0
1123,28,0
1124,14,0
1125,10,0
1126,24,0
1127,20,0
1128,24,0
1129,26,0
113,6,61
1130,10,0
1131,22,0
1132,14,0
1133,18,0
1134,18,0
1135,18,0
1136,24,0
1137,14,0
1138,22,0
1139,8,0
114,9,74
1140,6,0
1141,16,0
1142,10,0
1143,14,0
1144,16,0
1145,20,0
1146,28,0
1147,16,0
1148,22,0
1149,24,0
115,8,64
1150,24,0
1151,12,0
1152,18,0
1153,36,0
1154,38,0
1155,24,0
1156,10,0
1157,12,0
1158,10,0
1159,24,0
116,7,84
1160,10,0
1161,20,0
1162,14,0
1163,20,0
1164,20,0
1165,24,0
1166,26,0
1167,28,0
1168,20,0
1169,14,0
117,11,92
1170,20,0
1171,26,0
1172,22,0
1173,10,0
1174,12,0
1175,14,0
1176,18,0
1177,16,0
1178,20,0
1179,18,0
118,11,89
1180,24,0
1181,28,0
1182,18,0
1183,30,0
1184,18,0
1185,12,0
1186,16,0
1187,22,0
1188,14,0
1189,16,0
119,12,85
1190,22,0
1191,18,0
1192,22,0
1193,10,0
1194,20,0
1195,18,0
1196,22,0
1197,14,0
1198,18,0
1199,18,0
12,8,73
120,5,47
1200,20,0
1201,22,0
1202,14,0
1203,16,0
1204,8,0
1205,22,0
1206,10,0
1207,8,0
1208,18,0
