,a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5
1,11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,20,0,0,5
10,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,11,0,0,10
100,11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,24,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,23,0,0,0
1001,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
101,5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,31,0,0,0
1010,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1012,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,13,0,5,0
1020,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1021,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1024,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
